species,disease,symptoms,urgency,contagious,source
Dog,Canine distemper,"coughing, discharge, seizures, fever, vomiting",medium,no,overhaul_simple
Dog,Canine influenza,"coughing, sneezing, lethargy",medium,no,overhaul_simple
Dog,Canine parvovirus,"vomiting, diarrhea, lethargy",medium,no,overhaul_simple
Dog,Heartworms,"coughing, fatigue, exercise_intolerance, lethargy, weakness, sudden_death, weight_loss, difficulty_breathing, panting, heart_failure, ascites",medium,no,overhaul_simple
Dog,Kennel cough,"coughing, gagging, nasal_discharge, sneezing, decreased_energy, vomiting",medium,no,overhaul_simple
Dog,Rabies,"behavioral_change, aggression, paralysis, fever, decreased_energy, loss_of_appetite, weakness, seizures, difficulty_breathing, hypersalivation, abnormal_behaviour",medium,no,overhaul_simple
Dog,Obesity,"weight_gain, less_energy_than_usual, decreased_exercise_tolerance, being_unable_to_feel_the_ribs, waistline_not_visible",medium,no,overhaul_simple
Dog,Cataracts,"cloudy_eyes, bumping_into_objects_when_walking, inflammation_of_the_eye, bulging_of_dogs_eye_globe, squinting, pawing_the_eye, rubbing_face",medium,no,overhaul_simple
Dog,Arthritis,"limping, stiffness, difficulty_with_movement, slowing_down, irritability, muscle_loss, swelling",medium,no,overhaul_simple
Dog,Ear infections,"scratching, head_shaking, discharge, red_skin, odor, itching, shaking_of_the_head, pain_upon_contact_with_ears, head_tilt, scabs, swelling",medium,no,overhaul_simple
Dog,Diarrhea,"stool_change, diarrhea, increased_pooping_frequency, vomiting, lethargy",medium,no,overhaul_simple
Dog,Broken bones,"limping, swelling, lameness, abdominal_pain, crepitus, abnormal_conformation_of_the_affected_limb, broken_bone_protruding_from_the_skin",medium,no,overhaul_simple
Cat,Chronic Kidney Disease,"weight_loss, vomiting, excessive_thirst, increased_thirst, changes_in_frequency_of_urination, dehydration, skin_lesions, foul_breath, muscle_wasting, loss_of_appetite, changes_in_body_temperature, urinary_accidents, edema, constipation, changes_in_behavior, high_blood_pressure",medium,no,overhaul_simple
Cat,Cat Acne,"chin_blackheads, bumps, red_skin, scabs, pain_around_the_chin",medium,no,overhaul_simple
Cat,Diabetes,"increased_thirst, weight_loss, increase_in_frequency_and_volume_of_urination, urinating_outside_the_litter_box, loss_of_appetite, vomiting, lethargy, muscle_wasting, poor_coat_quality, behavioral_changes, plantigrade_stance",medium,no,overhaul_simple
Cat,Eosinophilic Granuloma Complex,"skin_lesions, itching, scratching",medium,no,overhaul_simple
Cat,Feline Immunodeficiency Virus,"weight_loss, poor_coat, oral_infections, fiv_infections_are_divided_into_three_phases_that_can_have_very_different_symptoms, fever, lethargy, enlarged_lymph_nodes, poor_appetite, red_skin, vomiting, diarrhea, eye_inflammation_and_drainage, coughing, difficulty_breathing, weakness",medium,no,overhaul_simple
Cat,Feline Infectious Peritonitis,"distended_abdomen, fever, lethargy, enlarged_abdomen, increased_heart_rate, difficulty_breathing, bluish_gums, enlarged_lymph_nodes, yellow_discoloration_of_the_skin, red_skin, cloudy_eyes, bleeding_in_the_eyes, squinting, blindness, seizures, incoordination, walking_in_circles, head_tilt",medium,no,overhaul_simple
Cat,Feline Leukemia Virus,"pale_gums, weight_loss, fever, loss_of_appetite, unthrifty_coat, inflamed_gums_and_mouth, enlarged_lymph_nodes, diarrhea, skin_eye_respiratory",medium,no,overhaul_simple
Cat,Feline Lower Urinary Tract Disease,"straining_to_urinate, blood_in_urine, cat_urinating_outside_litterbox, frequent_urination, vocalizing_while_urinating",medium,no,overhaul_simple
Cat,Feline Panleukopenia Virus,"vomiting, lethargy, diarrhea, depression, painful_abdomen, dehydration, weight_loss, rough, fever, decreased_to_absent_appetite, weakness, bruising_of_the_skin, tremors, poor_body_coordination",medium,no,overhaul_simple
Cat,Fleas,"parasites, itching, shaking_the_head, scratching, licking, overgrooming, hair_loss",medium,no,overhaul_simple
Cat,Hyperthyroidism,"weight_loss, hyperactivity, increased_appetite, unkempt_appearance, poor_body_condition, vomiting, diarrhea, drinking_more_than_usual, peeing_more_than_usual, difficulty_breathing, heart_murmur_rapid_heart_rate_an_abnormal_heartbeat_known_as_a_gallop_rhythm, aggression, enlarged_thyroid_gland_which_feels_like_a_lump_on_the_neck, thickened_nails",medium,no,overhaul_simple
Cat,Inflammatory Bowel Disease,"vomiting, diarrhea, weight_loss, fatigue, gas, abdominal_pain, rumbling_and_gurgling_abdominal_sounds, bright_red_blood_in_the_stool, distressed_coat_hair",medium,no,overhaul_simple
Cat,Intestinal Parasites,"worms_in_stool, diarrhea, dull_coat, coughing, vomiting, mucousy, loss_of_appetite, pale_mucous_membranes, potbellied_appearance, anemia",medium,no,overhaul_simple
Cat,Mammary Tumors,"lumps, ulceration_on_the_glands, discharge",medium,no,overhaul_simple
Cat,Mast Cell Tumor,"skin_mass, swelling, bumps, weight_loss, hair_loss, ulceration, vomiting, poor_appetite, fresh_blood_in_the_stool, black",medium,no,overhaul_simple
Cat,Obesity,"visible, difficulty_jumping, sitting, loss_of_a_visible_waistline, inability_for_pet_parent_to_feel_rib_bones, looking_down_from_above_your_cats_back_appears_flat_and, dirty_messy_unkempt_hair_coat, collar_keeps_getting_tighter, less_frequent_bowel_movements_and",medium,no,overhaul_simple
Cat,Osteoarthritis,"limping, stiffness, swollen_joints, muscle_wasting, hesitant_to_jump, decreased_energy",medium,no,overhaul_simple
Cat,Pancreatitis,"vomiting, abdominal_pain, weight_loss, loss_of_appetite, diarrhea, signs_may_be_infrequent_and_not_easily_noticeable",medium,no,overhaul_simple
Cat,Periodontal Disease,"bad_breath, red_skin, loose_teeth, tooth_loss, loss_of_appetite, gum_recession, exposed_tooth_roots, teeth_chattering, tooth_resorption",medium,no,overhaul_simple
Cat,Pyometra,"discharge, lethargy, swelling, loss_of_appetite, fever, weight_change, increased_thirst_and_urination, dehydration, blood_in_urine, distended_abdomen, vomiting, increased_heart_rate, increased_respiratory_rate, unkempt_haircoat",medium,no,overhaul_simple
Cat,Squamous Cell Carcinoma,"red_skin, drooling, small_white_growth_under_the_tongue, loose_teeth, bad_breath, difficulty_eating, lack_of_appetite, blood_coming_from_the_mouth, weight_loss",medium,no,overhaul_simple
Cat,Upper Respiratory Infection,"sneezing, nasal_discharge, drainage_from_the_eyes, conjunctivitis, squinting, nasal_drainage, nasal_congestion, loss_of_appetite, coughing, lethargy, fever, skin_ulcers, swelling, difficulty_breathing",medium,no,overhaul_simple
Cat,Urethral Obstruction,"straining_to_urinate, meowing_in_pain, blood_in_urine, urgency_to_urinate, urinating_smaller_amounts_more_often, urinating_outside_the_litter_box, licking_the_genital_area, vocalization, lethargy, loss_of_appetite",medium,no,overhaul_simple
Rabbit,Overgrown teeth,"drooling, facial_wetness, eating_difficulty, reduced_appetite, weight_loss, dropping_food, watery_eyes, facial, tooth_grinding",medium,no,overhaul_simple
Rabbit,Hairballs,"loss_of_appetite, small_droppings, decreased_fluid_intake, decreased_fecal_output, small_and, inconsistent_stool_consistency_alternating_between_dry_and_firm_and_soft, lethargy, distended_abdomen, vocalization, abnormal_posture_sitting",medium,no,overhaul_simple
Rabbit,Snuffles,"nasal_discharge, sneezing, loss_of_appetite, weight_loss, lethargy, conjunctivitis, head_tilt, ear_infection, abscesses, difficulty_breathing, lameness, eye_infection, reproductive_difficulties, sudden_death",medium,no,overhaul_simple
Rabbit,Myxomatosis,"swelling, watery_eyes, red_skin, nasal_discharge, ear_droop, purple, skin_nodules, fever, lethargy, loss_of_appetite, difficulty_breathing, skin_hemorrhage, seizures, secondary_bacterial_infections_pneumonia, weight_loss, death_in_5",medium,no,overhaul_simple
Rabbit,Ear mites,"scratching, crusty_ears, itching, ear_scratching, ear_drooping, head_shaking, head_tilt, reddish, inflamed_and_bloody_ear_canals, restlessness, lethargy, loss_of_appetite, gasping_at_surface, dewlap, neck, trunk, limbs, feet, distended_abdomen, perineal_regions",medium,no,overhaul_simple
Rabbit,Fleas,"parasites, scratching, self, bite_marks, hair_loss, dandruff, pale_mucous_membranes_increased_heart_rate, secondary_bacterial_infections",medium,no,overhaul_simple
Rabbit,Sore hocks,"skin_lesions, hair_loss, grade_iii_in_this_moderate_stage_of_ulcerative_pododermatitis_the_rabbit_is_more_likely_to_experience_broken_skin_ulceration_and_possibly_scab_formation_which_may_provide_an_opportunity_for_infection, grade_iv_during_this_severe_form_of_the_disease_the_rabbit_is_likely_to_have_an_abscess_a_pocket_of_infection_and_inflammation_of_the_tendons, grade_v_at_this_stage_of_the_disease_the_rabbit_is_likely_to_experience_severe_symptoms_of_ulcerative_pododermatitis_including_osteomyelitis, other_signs_and_symptoms_may_include_an_unwillingness_to_walk_which_is_largely_associated_with_discomfort_and_pain_obesity_nervousness_and_inability_to_eat",medium,no,overhaul_simple
Rabbit,Flystrike,"maggots, skin_wounds, lethargy, loss_of_appetite, decreased_grooming, foul_odor, infected_wounds, presence_of_fly_larvae, red_swollen",medium,no,overhaul_simple
Rabbit,Breathing difficulties,"wheezing, labored_breathing, noisy, fast, eye_discharge, sneezing, changes_in_behavior, reduced_appetite, stained_fur, open_mouth_breathing, blue, head_shaking",medium,no,overhaul_simple
Rabbit,Gastrointestinal stasis,"no_droppings, lethargy, loss_of_appetite, reduced, grinding_teeth, bloating, diarrhea, abdominal_pain, hunched_posture, low_body_temperature",medium,no,overhaul_simple
Rabbit,Conjunctivitis,"lethargy, runny_eyes, red_skin, discharge, swelling, squinting, third_eyelid",medium,no,overhaul_simple
Rabbit,Corneal ulceration,"cloudy_eyes, squinting, eye_discharge, red_skin, cloudiness, light_sensitivity, pawing",medium,no,overhaul_simple
Rabbit,Otitis media/interna,"head_tilt, balance_issues, loss_of_balance, lean, loss_of_appetite, reluctance_to_move, pain_reluctance_to_chew_shaking_the_head_pawing_at_the_affected_ear_holding_the_affected_ear_down, facial_nerve_damage, discharge",medium,no,overhaul_simple
Rabbit,Splay leg,"limb_deformity, difficulty_walking, legs_splayed_out_to_the_side_often_at_a_45_to_90, inability_to_stand, a_wiggling, difficulty_balancing_which_can_cause_them_to_topple_over",medium,no,overhaul_simple
Rabbit,Rhinitis,"nasal_discharge, sneezing, reduced_airflow, lack_of_appetite, slobbering, dental_disease, discharge, bleeding_nose_which_may_suggest_a_bacterial_infection_in_the_teeth",medium,no,overhaul_simple
Rabbit,Pneumonia,"labored_breathing, loss_of_appetite, weight_loss, lethargy, fever, sneezing, salivation, exercise_intolerance, nasal_discharge, eye_discharge, facial_abscesses, difficulty_breathing, coughing",medium,no,overhaul_simple
Rabbit,Hutch burn,"lethargy, irritated_genital_area_from_urine_scald, red_skin, hair_loss, wet_tail, brownish_crust, bleeding, skin_lesions, itching",medium,no,overhaul_simple
Rabbit,Wet dewlap,"wet_fur_under_chin, skin_infection, damp, skin_irritation, odor, infection",medium,no,overhaul_simple
Rabbit,Ringworm,"hair_loss, crusty, skin_ulcers, discolored, itching",medium,yes,overhaul_detailed
Hamster,Diarrhea,"wet_tail, soiled_bottom_and_tail, lethargy, loss_of_appetite, hunched_posture, sunken_eyes_and_skin_that_doesnt_snap_back_when_gently_pinched",medium,no,overhaul_simple
Hamster,Constipation,"straining_to_urinate, no_droppings, abdominal_pain, straining_to_defecate, hard_dry_feces_often_small_in_volume, worms_in_feces, constipation",medium,no,overhaul_simple
Hamster,Conjunctivitis,"lethargy, reddening_of_mucous_membrane_inside_eyelids, repeated_pawing_at_face, discharge, symptoms_can_be_in_one_eye, blinking, conjunctival_chemosis, keratoconjunctivitis",medium,no,overhaul_simple
Hamster,Protrusion of the eyeball,"bulging_eyes, bulging, discharge, red_skin, scabs, squinting, cloudiness, behavioral_changes, reduced_appetite",medium,no,overhaul_simple
Hamster,Pneumonia,"labored_breathing, discharge, fever, dull_and_depressed_appearance, weight_loss, sneezing, respiratory_distress",medium,no,overhaul_simple
Hamster,Milk gland infection,"swollen_mammary_area, enlarged_mammary_gland, mammary_gland_are_warm_firm_to_touch, hamster_exhibits_pain_when_the_gland_is_touched, mammary_gland_may_appear_bluish_in_color, discharge",medium,no,overhaul_simple
Hamster,Skin abscesses,"swelling, pus, skin_abscesses_are_often_located_around_the_hamsters_head, if_the_abscess_has_ripened_then_it_pits_when_pressure_is_applied, a_hamsters_cheeks_and_lymph_nodes_around_the_neck_may_even_be_swollen_if_the_infection_is_severe, if_the_abscess_ruptures_pus_may_ooze_out_and_soil_the_surrounding_hair",medium,no,overhaul_simple
Hamster,Hair loss / alopecia,"bald_patches, weight_loss, hair_loss, patches_of_short_hair, scabbing, dandruff, lethargy",medium,no,overhaul_simple
Hamster,Ringworm,"bald_patches, dandruff, scaly, a_thickening_of_the_skin_especially_on_the_underside_area, rash",medium,no,overhaul_simple
Hamster,Skin and fur mites,"itching, red_skin, dandruff, scabbing, lesions_along_the_back_hindlimbs, scratching, head_shaking",medium,no,overhaul_simple
Bird,Avian Gastric Yeast,"vomiting, weight_loss, undigested_seeds, continuous_loss_of_weight, loss_of_appetite",medium,no,overhaul_simple
Bird,Candidiasis,"white_patches_in_mouth, vomiting, white_mouth_lesions, lethargy, lack_of_appetite, ruffled_feathers, slow_growth, difficulty_swallowing, thickened_crop, weight_loss",medium,no,overhaul_simple
Bird,Pacheco’s Disease,"lethargy, green_droppings, yellow_watery_urates_urine_portion_of_birds_droppings, depression, loss_of_appetite, ruffled_feathers, eye_discharge, nasal_discharge, green_feces, vomiting, papillomas_on_the_oral, sudden_death",medium,no,overhaul_simple
Bird,Giardiasis,"itching, feather_picking, diarrhea, malnutrition, faulty_absorption_of_nutrients, weight_loss, feather_plucking, pecking_of_the_skin, vocalization",medium,no,overhaul_simple
Bird,Trichomoniasis,"mouth_lesions, drooling, pale_yellow, vomiting",medium,no,overhaul_simple
Bird,Roundworms / Tapeworms,"weight_loss, diarrhea, weakness",medium,no,overhaul_simple
