species,disease,symptoms,urgency,contagious,source
Dog,Canine Distemper,"fever, coughing, nasal_discharge, eye_discharge, vomiting, diarrhea, seizures, weakness, paralysis, lethargy",high,yes,vet_verified
Dog,Canine Influenza,"coughing, fever, nasal_discharge, eye_discharge, sneezing, loss_of_appetite, lethargy",medium,yes,vet_verified
Dog,Canine Parvovirus,"lethargy, loss_of_appetite, fever, vomiting, diarrhea, difficulty_breathing, dehydration, weakness",high,yes,vet_verified
Dog,Ticks,"fever, stiffness, limping, loss_of_appetite, vomiting, diarrhea, bumps, lumps",medium,no,vet_verified
Dog,Fleas,"itching, scratching, red_skin, irritated_skin, skin_lesions, bumps, rash",medium,yes,vet_verified
Dog,Heartworm Disease,"coughing, lethargy, weakness, difficulty_breathing, bloating, weight_loss",high,no,vet_verified
Dog,Kennel Cough,"coughing, nasal_discharge, sneezing, lethargy, vomiting",medium,yes,vet_verified
Dog,Rabies,"fever, lethargy, loss_of_appetite, weakness, seizures, difficulty_breathing, aggression, paralysis, drooling, confusion",high,no,vet_verified
Dog,Obesity,"weight_gain, lethargy, reluctance_to_move, difficulty_walking, bloating",medium,no,vet_verified
Dog,Diabetes,"excessive_eating, frequent_urination, weight_loss, lethargy, dehydration, cloudy_eyes, bad_breath",medium,no,vet_verified
Dog,Cataracts,"cloudy_eyes, red_eyes, squinting, head_shaking",medium,no,vet_verified
Dog,Arthritis,"stiffness, limping, lameness, difficulty_walking, lethargy, reluctance_to_move",medium,no,vet_verified
Dog,Ear Infections,"red_skin, itching, ear_scratching, head_shaking, mouth_pain, head_tilt, ear_discharge, scabs",medium,no,vet_verified
Dog,Broken Bones,"limping, lameness, mouth_pain, stiffness, swelling, reluctance_to_move",high,no,vet_verified
Dog,Food Allergies,"itching, scratching, red_skin, irritated_skin, rash, hair_loss, vomiting, diarrhea, gas, bloating, weight_loss, lethargy, skin_lesions",medium,no,vet_verified
Dog,Flea Allergy Dermatitis,"hair_loss, bald_patches, itching, scratching, scabs, red_skin, irritated_skin, rash, lethargy",medium,yes,vet_verified
Dog,Contact Dermatitis,"red_skin, irritated_skin, hair_loss, scabs, rash, itching, scratching",medium,no,vet_verified
Dog,Demodectic Mange,"hair_loss, bald_patches, scabs, dandruff, itching, scratching, red_skin, irritated_skin, rash, lethargy, skin_lesions",medium,no,vet_verified
Dog,Anaplasmosis,"limping, stiffness, lethargy, loss_of_appetite, fever, coughing, seizures, vomiting, diarrhea",high,no,vet_verified
Dog,Babesiosis,"lethargy, loss_of_appetite, fever, diarrhea, bloating, weight_loss, weakness, seizures",high,no,vet_verified
Dog,Hookworms,"diarrhea, dark_urine, weight_loss, weakness, lethargy, coughing, difficulty_breathing, red_skin, itching",medium,yes,vet_verified
Dog,Heatstroke,"difficulty_breathing, respiratory_distress, lethargy, dehydration, fever, vomiting, diarrhea, confusion, weakness, seizures",emergency,no,vet_verified
Dog,Lyme Disease,"limping, stiffness, fever, lethargy, weakness, loss_of_appetite, vomiting, diarrhea, frequent_urination, weight_loss",medium,no,vet_verified
Dog,Roundworms,"diarrhea, vomiting, bloating, weight_loss, coughing, weakness",medium,yes,vet_verified
Dog,Rickettsial Infections,"fever, loss_of_appetite, lethargy, weakness, limping, coughing, weight_loss",medium,no,vet_verified
Dog,Leptospirosis,"lethargy, loss_of_appetite, vomiting, diarrhea, fever, mouth_pain, blood_in_urine, stiffness, red_eyes, dehydration",high,yes,vet_verified
Dog,Giardia,"diarrhea, lethargy, loss_of_appetite, bloating, weight_loss",medium,yes,vet_verified
Dog,Tapeworms,"scratching, anal_itching, weight_loss, vomiting, constipation",medium,yes,vet_verified
Dog,Whipworms,"diarrhea, weight_loss, dehydration, weakness, lethargy",medium,yes,vet_verified
Dog,Canine Enteric Coronavirus,"diarrhea, vomiting, loss_of_appetite, bloating, lethargy, dehydration, fever, seizures",medium,yes,vet_verified
Dog,Canine Respiratory Coronavirus,"coughing, sneezing, difficulty_breathing, eye_discharge, nasal_discharge, fever, lethargy, loss_of_appetite",medium,yes,vet_verified
Dog,Infectious Canine Hepatitis,"lethargy, excessive_eating, loss_of_appetite, red_eyes, eye_discharge, cloudy_eyes, mouth_pain, vomiting, fever",high,yes,vet_verified
Dog,Pyoderma,"red_skin, itching, scabs, dandruff, hair_loss, bumps, lethargy, loss_of_appetite, mouth_pain",medium,no,vet_verified
Dog,Hot Spots,"red_skin, irritated_skin, itching, scratching, hair_loss",medium,no,vet_verified
Dog,Urinary Tract Infection,"straining_to_urinate, mouth_pain, frequent_urination, itching, drooling, blood_in_urine, lethargy, fever, loss_of_appetite",medium,no,vet_verified
Dog,Ringworm,"hair_loss, dandruff, red_skin, itching, scratching",medium,yes,vet_verified
Dog,Cushings Disease,"excessive_eating, frequent_urination, difficulty_breathing, weight_loss, lethargy, bloating, hair_loss, bumps",medium,no,vet_verified
Dog,Addisons Disease,"frequent_urination, seizures, lethargy, weakness, loss_of_appetite, diarrhea, vomiting, weight_loss, mouth_pain",high,no,vet_verified
Dog,Hypothyroidism,"weight_gain, lethargy, hair_loss, ear_scratching, ear_discharge, red_skin, weakness, cloudy_eyes",medium,no,vet_verified
Dog,Chronic Kidney Disease,"frequent_urination, excessive_eating, loss_of_appetite, dehydration, weight_loss, drooling, vomiting, bad_breath, weakness, lethargy",high,no,vet_verified
Dog,Liver Disease,"red_eyes, confusion, seizures, lethargy, head_shaking, loss_of_appetite, vomiting, diarrhea, weight_loss, excessive_eating, frequent_urination, bloating",high,no,vet_verified
Dog,Hip Dysplasia,"limping, difficulty_walking, difficulty_standing, stiffness, reluctance_to_move",medium,no,vet_verified
Dog,Patellar Luxation,"limping, stiffness, difficulty_walking, mouth_pain",medium,no,vet_verified
