species,disease,symptoms,urgency,contagious,source
Dog,Canine distemper,"fever, coughing, nasal_discharge, eye_discharge, vomiting, diarrhea, seizures",medium,no,overhaul_simple
Dog,Canine influenza,"coughing, _which_often_persists_for_weeks, fever, eye_discharge, sneezing, loss_of_appetite, lethargy",medium,no,overhaul_simple
Dog,Canine parvovirus,"lethargy, loss_of_appetite, fever, vomiting, diarrhea",high,yes,overhaul_simple
Dog,Heartworms,"coughing, lethargy, exercise_intolerance, collapse, sudden_death, weight_loss, difficulty_breathing, heart_failure, bloating",medium,no,overhaul_simple
Dog,Kennel cough,"coughing, labored_breathing, nasal_discharge, sneezing, lethargy, vomiting",medium,no,overhaul_simple
Dog,Rabies,"fever, lethargy, loss_of_appetite, weakness, seizures, difficulty_breathing, hypersalivation, abnormal_head_posture, aggression, paralysis",medium,no,overhaul_simple
Cat,Obesity,"difficulty_jumping, loss_of_waistline, dirty, _messy, _unkempt_hair_coat, collar_keeps_getting_tighter",medium,no,overhaul_simple
Dog,Cataracts,"bumping_into_objects, red_eyes, bulging_of_dog’s_eye_globe, squinting, pawing_at_mouth, rubbing_face_or_head_along_the_furniture",medium,no,overhaul_simple
Dog,Arthritis,"stiffness, limping, difficulty_walking, swimming_upside_down, inability_to_groom, muscle_loss, joint_swelling",medium,no,overhaul_simple
Turtle,Ear infections,"bulging_tympanic_membrane, lumps, pain_when_mouth_is_opened, head_shaking, sensitivity_around_the_ears, loss_of_appetite, lethargy",medium,no,overhaul_simple
Fish,Diarrhea,"urgency:_emergency, contagious:_no, disease:_cystitis, species:_cat, status:_[_]_missing, primary_sources_:, 1._source:_petmd, symptoms_extracted:",medium,no,overhaul_simple
Cat,Broken bones,"lameness, pain, joint_swelling, crepitus, abnormal_conformation_of_the_affected_limb, tissue_protruding_from_vent, swelling, ✅_14_retained_—_all_relevant_and_observable.",medium,no,overhaul_simple
Cat,Chronic Kidney Disease,"increased_thirst, vomiting, dehydration, skin_lesions, difficulty_breathing, weight_loss, loss_of_appetite, changes_in_body_temperature, urinary_accidents, swelling, constipation, changes_in_behavior, high_blood_pressure",medium,no,overhaul_simple
Cat,Cat Acne,"swelling, bumps_and_pustules, scabs, pain_around_the_chin",medium,no,overhaul_simple
Cat,Diabetes,"increased_thirst, increase_in_frequency_and_volume_of_urination, urinating_outside_litter_box, weight_loss, vomiting, lethargy, poor_coat_condition, behavioral_changes, plantigrade_stance",medium,no,overhaul_simple
Cat,Eosinophilic Granuloma Complex,"skin_lesions, itching",medium,no,overhaul_simple
Cat,Feline Immunodeficiency Virus,"acute_phase, fever, lethargy, enlarged_lymph_nodes, acquired_immunodeficiency_syndrome, loss_of_appetite, weight_loss, skin_lesions, vomiting, diarrhea, red_eyes, coughing, difficulty_breathing",medium,no,overhaul_simple
Cat,Feline Infectious Peritonitis,"wet_fip, distended_abdomen, increased_appetite, difficulty_breathing, swollen_gums, enlarged_lymph_nodes, yellow_discoloration_of_the_skin, dry_fip, redness, cloudy_eyes, bleeding_gums, squinting, seizures, incoordination, circling, head_tilt",medium,no,overhaul_simple
Cat,Feline Leukemia Virus,"pale_gums, loss_of_appetite, weight_loss, unthrifty_coat, swollen_gums, fever, enlarged_lymph_nodes, diarrhea",medium,no,overhaul_simple
Cat,Feline Lower Urinary Tract Disease,"frequent_urination, blood_in_urine, vocalization_during_urination",medium,no,overhaul_simple
Cat,Feline Panleukopenia Virus,"lethargy, depression, vomiting, diarrhea, dehydration, weight_loss, rough_or_unkempt_hair_coat, fever, loss_of_appetite, mild_to_severe_intention_tremors, poor_coat_condition",medium,no,overhaul_simple
Rabbit,Fleas,"self_biting_or_chewing, itching, visible_bite_marks_or_evidence_of_fleas, hair_loss, scaling_on_the_skin, pale_mucous_membranes, increased_appetite, secondary_bacterial_infections",medium,no,overhaul_simple
Cat,Hyperthyroidism,"weight_loss, increased_appetite, unkempt_appearance, poor_coat_condition, vomiting, diarrhea, increased_thirst, peeing_more_than_usual, rapid_breathing, difficulty_breathing, restlessness, aggression, thickened_nails",medium,no,overhaul_simple
Cat,Inflammatory Bowel Disease,"diarrhea, weight_loss, lethargy, vomiting, bloating, abdominal_pain, rumbling_and_gurgling_abdominal_sounds, bloody_diarrhea, increased_thirst",medium,no,overhaul_simple
Cat,Intestinal Parasites,"dull_coat, coughing, vomiting, diarrhea, bloody_diarrhea, loss_of_appetite, pale_mucous_membranes, potbellied_appearance, pale_gums",medium,no,overhaul_simple
Cat,Mammary Tumors,"skin_lesions, discharge",medium,no,overhaul_simple
Cat,Mast Cell Tumor,"lumps, itching, skin_lesions, vomiting, weight_loss, loss_of_appetite, bloody_diarrhea, black_or_tarry_stool, _indicating_digested_blood",medium,no,overhaul_simple
Cat,Obesity,"difficulty_jumping, loss_of_waistline, dirty, _messy, _unkempt_hair_coat, collar_keeps_getting_tighter",medium,no,overhaul_simple
Cat,Osteoarthritis,"limping, swollen_eyes, weight_loss, hesitant_to_jump_or_play, lethargy",medium,no,overhaul_simple
